number,title,classification,timestamp,latitude,longitude,geometry,index_right,STATEFP,STATENS,AFFGEOID,GEOID,STUSPS,NAME,LSAD,ALAND,AWATER
245,"Report 245: Two outdoorsman fishing, loud vocalizations, footsteps heard",Class A,1999-07-15T12:00:00Z,33.28375,-87.32655,POINT (-87.32655 33.28375),17,01,01779775,0400000US01,01,AL,Alabama,00,131174048583,4593327154
416,Report 416: A resident's early evening sighting next to his home near New Market,Class A,1983-11-15T12:00:00Z,34.95605,-86.4559,POINT (-86.4559 34.95605),17,01,01779775,0400000US01,01,AL,Alabama,00,131174048583,4593327154
435,Report 435: Daylight sighting by husband and wife near home near Valhermosa Springs,Class A,2000-10-10T12:00:00Z,34.5422,-86.66465,POINT (-86.66465 34.5422),17,01,01779775,0400000US01,01,AL,Alabama,00,131174048583,4593327154
451,Report 451: Young man has sighting near home,Class A,1993-08-20T12:00:00Z,34.9263,-87.02025,POINT (-87.02025 34.9263),17,01,01779775,0400000US01,01,AL,Alabama,00,131174048583,4593327154
577,Report 577: Man has repeated visits at family farm,Class A,1999-11-15T12:00:00Z,34.80405,-87.50905,POINT (-87.50905 34.80405),17,01,01779775,0400000US01,01,AL,Alabama,00,131174048583,4593327154
799,"Report 799: Person fishing recounts story of his encounter with a large, bipedal creature that was wading in the water",Class A,1978-04-15T12:00:00Z,34.92855,-87.1105,POINT (-87.1105 34.92855),17,01,01779775,0400000US01,01,AL,Alabama,00,131174048583,4593327154
832,"Report 832: Witnesses spot a tall, brown object moving on a hill, also reported are moans and a sighting where red eyes are described",Class A,1980-11-15T12:00:00Z,33.13195,-88.17885,POINT (-88.17885 33.13195),17,01,01779775,0400000US01,01,AL,Alabama,00,131174048583,4593327154
961,"Report 961: Motorist confronted by hairy, man-like creature on roadside",Class A,1997-01-06T12:00:00Z,31.4515,-88.08305,POINT (-88.08305 31.4515),17,01,01779775,0400000US01,01,AL,Alabama,00,131174048583,4593327154
1022,Report 1022: Hunters observe creature walking in the woods,Class A,1990-09-15T12:00:00Z,33.97575,-87.45876,POINT (-87.45876 33.97575),17,01,01779775,0400000US01,01,AL,Alabama,00,131174048583,4593327154
1907,"Report 1907: Motorist sees Bigfoot like creature, hears scream",Class A,1996-12-05T12:00:00Z,31.58255,-87.96095,POINT (-87.96095 31.58255),17,01,01779775,0400000US01,01,AL,Alabama,00,131174048583,4593327154
3028,Report 3028: Daylight sighting by lady while her husband was clearing trees,Class A,2000-06-01T12:00:00Z,34.4881,-86.6333,POINT (-86.6333 34.4881),17,01,01779775,0400000US01,01,AL,Alabama,00,131174048583,4593327154
3296,Report 3296: Man on his way to work  sees sasquatch crossing road in his headlights,Class A,2001-10-15T12:00:00Z,34.6802,-87.00665,POINT (-87.00665 34.6802),17,01,01779775,0400000US01,01,AL,Alabama,00,131174048583,4593327154
4743,Report 4743: Nighttime sighting by two teens in southern Conecuh County,Class A,2000-02-10T12:00:00Z,31.16,-87.09069,POINT (-87.09069 31.16),17,01,01779775,0400000US01,01,AL,Alabama,00,131174048583,4593327154
5954,Report 5954: Daylight sighting at eastern dike of East Lagoon in Aliceville,Class A,2007-09-01T12:00:00Z,33.13,-88.14999,POINT (-88.14999 33.13),17,01,01779775,0400000US01,01,AL,Alabama,00,131174048583,4593327154
6938,Report 6938: Tracks and feces found in freshly turned field,Class A,2003-08-30T12:00:00Z,33.21145,-87.35664,POINT (-87.35664 33.21145),17,01,01779775,0400000US01,01,AL,Alabama,00,131174048583,4593327154
7031,Report 7031: Lady sees large hairy creature on the side of the road,Class A,2003-06-28T12:00:00Z,33.26035,-87.31821,POINT (-87.31821 33.26035),17,01,01779775,0400000US01,01,AL,Alabama,00,131174048583,4593327154
7235,Report 7235: Recollection of an afternoon sighting on Green Mountain,Class A,2004-05-28T12:00:00Z,34.7325,-86.52105,POINT (-86.52105 34.7325),17,01,01779775,0400000US01,01,AL,Alabama,00,131174048583,4593327154
7427,Report 7427: Four youths have harrowing experience in Alabama backwoods.,Class A,2003-11-26T12:00:00Z,32.6218,-85.4258,POINT (-85.4258 32.6218),17,01,01779775,0400000US01,01,AL,Alabama,00,131174048583,4593327154
8171,Report 8171: Nighttime Sighting on County Road,Class A,2004-05-09T12:00:00Z,33.3674,-86.64066,POINT (-86.64066 33.3674),17,01,01779775,0400000US01,01,AL,Alabama,00,131174048583,4593327154
8679,Report 8679: Adult recalls childhood sighting at dusk near Moody,Class A,2004-09-30T12:00:00Z,33.6205,-86.4664,POINT (-86.4664 33.6205),17,01,01779775,0400000US01,01,AL,Alabama,00,131174048583,4593327154
10498,Report 10498: Hiker has daylight sighting near Warrior.,Class A,1979-09-15T12:00:00Z,33.8132,-86.7891,POINT (-86.7891 33.8132),17,01,01779775,0400000US01,01,AL,Alabama,00,131174048583,4593327154
14082,Report 14082: Daylight road crossing sighting near Orrville,Class A,2006-09-10T12:00:00Z,32.30673,-87.24547,POINT (-87.24547 32.30673),17,01,01779775,0400000US01,01,AL,Alabama,00,131174048583,4593327154
15102,Report 15102: Daylight sighting by hunter near the Alabama / Mississippi border,Class A,2006-07-06T12:00:00Z,31.00002,-86.99782,POINT (-86.99782 31.00002),17,01,01779775,0400000US01,01,AL,Alabama,00,131174048583,4593327154
17455,Report 17455: Sighting by duck hunters in swamp area within Tuskegee National Forest,Class A,2007-05-19T12:00:00Z,32.43,-85.705,POINT (-85.705 32.43),17,01,01779775,0400000US01,01,AL,Alabama,00,131174048583,4593327154
17480,Report 17480: Sighting by a group of campers in Cheaha Mountain State Park,Class A,2007-04-22T12:00:00Z,33.35,-85.625,POINT (-85.625 33.35),17,01,01779775,0400000US01,01,AL,Alabama,00,131174048583,4593327154
18043,Report 18043: Evening sighting by family driving by Guntersville Lake,Class A,1992-08-15T12:00:00Z,34.27607,-86.17524,POINT (-86.17524 34.27607),17,01,01779775,0400000US01,01,AL,Alabama,00,131174048583,4593327154
22539,Report 22539: Roadside Sighting near Moody,Class A,2007-07-18T12:00:00Z,33.59,-86.5,POINT (-86.5 33.59),17,01,01779775,0400000US01,01,AL,Alabama,00,131174048583,4593327154
24646,Report 24646: Early morning sighting by a fisherman south of Montgomery,Class A,2001-04-13T12:00:00Z,32.184,-86.581,POINT (-86.581 32.184),17,01,01779775,0400000US01,01,AL,Alabama,00,131174048583,4593327154
25238,Report 25238: Woman recalls encountering a creature while driving through Talladega National Forest,Class A,1999-11-23T12:00:00Z,33.36305,-86.17122,POINT (-86.17122 33.36305),17,01,01779775,0400000US01,01,AL,Alabama,00,131174048583,4593327154
25559,Report 25559: Exec on business trip has sighting from balcony of hotel near Huntsville,Class A,2009-02-24T12:00:00Z,34.71139,-86.6575,POINT (-86.6575 34.71139),17,01,01779775,0400000US01,01,AL,Alabama,00,131174048583,4593327154
26513,Report 26513: Man recalls a sighting after Hurricane Frederic north of Mobile,Class A,1979-09-14T12:00:00Z,30.7113,-87.91833,POINT (-87.91833 30.7113),17,01,01779775,0400000US01,01,AL,Alabama,00,131174048583,4593327154
26886,Report 26886: Daylight sighting while riding ATV on his private property outside Verbena,Class A,2000-05-13T12:00:00Z,32.76967,-86.4891,POINT (-86.4891 32.76967),17,01,01779775,0400000US01,01,AL,Alabama,00,131174048583,4593327154
27067,Report 27067: Motorists pulled over on a rural highway at night describe standoff in headlights east of Clayton,Class A,1980-01-12T12:00:00Z,31.86801,-85.35995,POINT (-85.35995 31.86801),17,01,01779775,0400000US01,01,AL,Alabama,00,131174048583,4593327154
27459,Report 27459: Motorist sights dirty-white upright creature near the town of Kansas,Class A,2010-03-12T12:00:00Z,33.8957,-87.53395,POINT (-87.53395 33.8957),17,01,01779775,0400000US01,01,AL,Alabama,00,131174048583,4593327154
27480,Report 27480: Woman recounts childhood sighting of a white creature near the town of Kansas,Class A,1990-05-15T12:00:00Z,33.8957,-87.53395,POINT (-87.53395 33.8957),17,01,01779775,0400000US01,01,AL,Alabama,00,131174048583,4593327154
27568,Report 27568: Daylight sighting of a Bigfoot outside Muscle Shoals,Class A,2005-01-12T12:00:00Z,34.70112,-87.77686,POINT (-87.77686 34.70112),17,01,01779775,0400000US01,01,AL,Alabama,00,131174048583,4593327154
33307,Report 33307: Memory told of a close encounter while riding a bike as a teen in Brewton,Class A,1983-10-14T12:00:00Z,31.13586,-87.06486,POINT (-87.06486 31.13586),17,01,01779775,0400000US01,01,AL,Alabama,00,131174048583,4593327154
35293,Report 35293: Daylight observation remembered of a Bigfoot holding a baby pig near Andalusia,Class A,1978-10-10T12:00:00Z,31.34781,-86.54527,POINT (-86.54527 31.34781),17,01,01779775,0400000US01,01,AL,Alabama,00,131174048583,4593327154
35475,Report 35475: Daylight road crossing near Vernon,Class A,2012-05-21T12:00:00Z,33.41574,-88.12475,POINT (-88.12475 33.41574),17,01,01779775,0400000US01,01,AL,Alabama,00,131174048583,4593327154
37038,Report 37038: Nighttime sighting of a tall blonde biped crossing Hwy. 45 north of Fruitdale,Class A,2008-02-15T12:00:00Z,31.25385,-88.26291,POINT (-88.26291 31.25385),17,01,01779775,0400000US01,01,AL,Alabama,00,131174048583,4593327154
37094,Report 37094: Multiple sightings close to Lookout Mountain near Gadsden,Class A,2012-11-01T12:00:00Z,33.82162,-85.48985,POINT (-85.48985 33.82162),17,01,01779775,0400000US01,01,AL,Alabama,00,131174048583,4593327154
39383,Report 39383: Kayaker has rocks thrown and observes the culprit near Union Grove,Class A,2012-08-15T12:00:00Z,34.32279,-86.5045,POINT (-86.5045 34.32279),17,01,01779775,0400000US01,01,AL,Alabama,00,131174048583,4593327154
40417,Report 40417: Nighttime encounters close to home near Morgan,Class A,2013-03-16T12:00:00Z,34.47091,-86.56954,POINT (-86.56954 34.47091),17,01,01779775,0400000US01,01,AL,Alabama,00,131174048583,4593327154
40912,Report 40912: Deer hunter hears then sees large hair-covered biped near the Morgan County line,Class A,2013-01-23T12:00:00Z,34.29511,-86.88621,POINT (-86.88621 34.29511),17,01,01779775,0400000US01,01,AL,Alabama,00,131174048583,4593327154
42939,Report 42939: Late afternoon sighting by a bow hunter in his tree stand south of Clanton,Class A,2013-10-15T12:00:00Z,32.48322,-86.37698,POINT (-86.37698 32.48322),17,01,01779775,0400000US01,01,AL,Alabama,00,131174048583,4593327154
43689,Report 43689: Night fisherman first hears and then observes two Bigfoots in his spotlight near Birmingham,Class A,2013-10-02T12:00:00Z,33.55153,-86.98473,POINT (-86.98473 33.55153),17,01,01779775,0400000US01,01,AL,Alabama,00,131174048583,4593327154
44487,Report 44487: Memory told of a close dalylight observation outside Alexander City,Class A,2014-03-30T12:00:00Z,32.91874,-85.9793,POINT (-85.9793 32.91874),17,01,01779775,0400000US01,01,AL,Alabama,00,131174048583,4593327154
44849,Report 44849: Sightings at night in the same area off Bone Camp Road near Northport,Class A,2014-12-27T12:00:00Z,33.37095,-87.6942,POINT (-87.6942 33.37095),17,01,01779775,0400000US01,01,AL,Alabama,00,131174048583,4593327154
44986,"Report 44986: Memory told of a close up daylight encounter with two, possibly young, Bigfoots near Abbeville",Class A,2014-12-31T12:00:00Z,31.651,-85.19265,POINT (-85.19265 31.651),17,01,01779775,0400000US01,01,AL,Alabama,00,131174048583,4593327154
45296,Report 45296: Motorist observes a Bigfoot chasing a deer at night near Bremen,Class A,2014-06-09T12:00:00Z,34.00806,-86.96416,POINT (-86.96416 34.00806),17,01,01779775,0400000US01,01,AL,Alabama,00,131174048583,4593327154
46746,Report 46746: Nighttime sighting by a motorist west of Newville,Class A,2014-09-17T12:00:00Z,31.23374,-85.21574,POINT (-85.21574 31.23374),17,01,01779775,0400000US01,01,AL,Alabama,00,131174048583,4593327154
47975,Report 47975: Motorist observes a tall biped with an ape-like face while driving at dusk near Ariton,Class A,2013-01-28T12:00:00Z,31.53475,-85.7944,POINT (-85.7944 31.53475),17,01,01779775,0400000US01,01,AL,Alabama,00,131174048583,4593327154
50178,Report 50178: Recollection of a roadside sighting of a white Bigfoot near Blount Springs,Class A,2014-01-14T12:00:00Z,33.89833,-86.84557,POINT (-86.84557 33.89833),17,01,01779775,0400000US01,01,AL,Alabama,00,131174048583,4593327154
273,Report 273: Husband and wife hear scream while fishing,Class B,1994-09-15T12:00:00Z,33.7065,-85.57415,POINT (-85.57415 33.7065),17,01,01779775,0400000US01,01,AL,Alabama,00,131174048583,4593327154
1419,Report 1419: Large footprint found in a sandy creek bank near Talladega National Forest,Class B,2000-07-15T12:00:00Z,33.48665,-85.8175,POINT (-85.8175 33.48665),17,01,01779775,0400000US01,01,AL,Alabama,00,131174048583,4593327154
1783,Report 1783: Night hunters hear strange screams in the woods,Class B,1985-08-15T12:00:00Z,32.4456,-86.5653,POINT (-86.5653 32.4456),17,01,01779775,0400000US01,01,AL,Alabama,00,131174048583,4593327154
8635,Report 8635: Possible repeat approaches to a rural residence at night outside OPP,Class B,2007-09-12T12:00:00Z,31.29,-86.255,POINT (-86.255 31.29),17,01,01779775,0400000US01,01,AL,Alabama,00,131174048583,4593327154
8921,Report 8921: Possible daylight sighting near freeway outside Birmingham,Class B,2006-06-03T12:00:00Z,33.00014,-86.00004,POINT (-86.00004 33.00014),17,01,01779775,0400000US01,01,AL,Alabama,00,131174048583,4593327154
10501,Report 10501: Hikers find footprints near Pell City.,Class B,2005-02-05T12:00:00Z,33.6332,-86.2952,POINT (-86.2952 33.6332),17,01,01779775,0400000US01,01,AL,Alabama,00,131174048583,4593327154
15473,Report 15473: Possible stalking on mountain outside Troy,Class B,2007-08-26T12:00:00Z,31.85,-85.925,POINT (-85.925 31.85),17,01,01779775,0400000US01,01,AL,Alabama,00,131174048583,4593327154
15597,Report 15597: Possible vocalizations reported near Tanner,Class B,2006-09-22T12:00:00Z,34.73139,-86.97057,POINT (-86.97057 34.73139),17,01,01779775,0400000US01,01,AL,Alabama,00,131174048583,4593327154
17035,Report 17035: Wood knocks heard by hunter outside Camden,Class B,2007-08-06T12:00:00Z,31.99,-87.29,POINT (-87.29 31.99),17,01,01779775,0400000US01,01,AL,Alabama,00,131174048583,4593327154
17168,Report 17168: Nighttime sighting by motorists outside Grand Bay,Class B,2007-02-04T12:00:00Z,30.47612,-88.34223,POINT (-88.34223 30.47612),17,01,01779775,0400000US01,01,AL,Alabama,00,131174048583,4593327154
18033,Report 18033: Possible stalking of couple parked at power line cut outside Opelika,Class B,2002-05-30T12:00:00Z,32.6825,-85.2222,POINT (-85.2222 32.6825),17,01,01779775,0400000US01,01,AL,Alabama,00,131174048583,4593327154
18376,Report 18376: Couple reports possible stalking near abandoned rural graveyard outside town of Valley,Class B,2007-01-30T12:00:00Z,32.67715,-85.21545,POINT (-85.21545 32.67715),17,01,01779775,0400000US01,01,AL,Alabama,00,131174048583,4593327154
21714,Report 21714: Rescue workers describes possible stalking on the Cahaba River outside Montevallo,Class B,2007-09-12T12:00:00Z,33.1,-86.86,POINT (-86.86 33.1),17,01,01779775,0400000US01,01,AL,Alabama,00,131174048583,4593327154
22899,Report 22899: Possible daylight encounter on Fort Rucker Army Base,Class B,2008-01-19T12:00:00Z,31.35,-85.7075,POINT (-85.7075 31.35),17,01,01779775,0400000US01,01,AL,Alabama,00,131174048583,4593327154
22969,Report 22969: Camper Awakened by Loud Wood Knocks in Talladega National Forrest,Class B,2008-01-19T12:00:00Z,33.46345,-85.87055,POINT (-85.87055 33.46345),17,01,01779775,0400000US01,01,AL,Alabama,00,131174048583,4593327154
24451,Report 24451: Two friends have a possible nighttime sighting on a rural road outside Madison,Class B,2008-08-31T12:00:00Z,31.20325,-87.5047,POINT (-87.5047 31.20325),17,01,01779775,0400000US01,01,AL,Alabama,00,131174048583,4593327154
25111,Report 25111: Ohio howl type vocalizations for several hours in early morning near Lacey's Spring,Class B,2008-11-28T12:00:00Z,34.55946,-86.59747,POINT (-86.59747 34.55946),17,01,01779775,0400000US01,01,AL,Alabama,00,131174048583,4593327154
28326,Report 28326: Recollection of seeing a hair covered creature squatting next to a road near Waterloo,Class B,2008-04-15T12:00:00Z,34.8986,-87.95277,POINT (-87.95277 34.8986),17,01,01779775,0400000US01,01,AL,Alabama,00,131174048583,4593327154
34224,Report 34224: Possible late night encounter outside a home near Pinckard,Class B,2011-04-01T12:00:00Z,31.30503,-85.61766,POINT (-85.61766 31.30503),17,01,01779775,0400000US01,01,AL,Alabama,00,131174048583,4593327154
35339,Report 35339: Unexplained happenings on a farm outside Tuscaloosa,Class B,2012-03-15T12:00:00Z,33.20837,-87.28992,POINT (-87.28992 33.20837),17,01,01779775,0400000US01,01,AL,Alabama,00,131174048583,4593327154
38022,Report 38022: Large black figure seen on a ridgeline near Hytop,Class B,2012-12-01T12:00:00Z,34.56327,-85.79889,POINT (-85.79889 34.56327),17,01,01779775,0400000US01,01,AL,Alabama,00,131174048583,4593327154
39620,Report 39620: Motorist has two possible sightings on the Appalachian Hwy. near Gadsden,Class B,2013-01-27T12:00:00Z,34.04129,-85.86473,POINT (-85.86473 34.04129),17,01,01779775,0400000US01,01,AL,Alabama,00,131174048583,4593327154
42692,Report 42692: Daytime road crossing seen near Ashland,Class B,2013-11-10T12:00:00Z,33.12572,-85.49103,POINT (-85.49103 33.12572),17,01,01779775,0400000US01,01,AL,Alabama,00,131174048583,4593327154
43217,Report 43217: Memory of 3 hairy fingers sliding under the front door outside Nauvoo,Class B,1988-07-15T12:00:00Z,33.89236,-87.3775,POINT (-87.3775 33.89236),17,01,01779775,0400000US01,01,AL,Alabama,00,131174048583,4593327154
43402,Report 43402: Possible ongoing activty in a rural community near Chance,Class B,2002-09-16T12:00:00Z,31.809,-87.56807,POINT (-87.56807 31.809),17,01,01779775,0400000US01,01,AL,Alabama,00,131174048583,4593327154
45498,Report 45498: Strange occurrences are ongoing at a rural home outside Talladega,Class B,2014-07-27T12:00:00Z,33.24084,-85.7894,POINT (-85.7894 33.24084),17,01,01779775,0400000US01,01,AL,Alabama,00,131174048583,4593327154
10192,Report 10192: Possible vocalizations and tracks found by hunter on state land near Jay,Class B,2006-06-11T12:00:00Z,31.00009,-87.00008,POINT (-87.00008 31.00009),17,01,01779775,0400000US01,01,AL,Alabama,00,131174048583,4593327154
14181,"Report 14181: Hunter hears vocalizations, relates other experiences in vicinity.",Class B,2006-03-16T12:00:00Z,30.993,-85.97701,POINT (-85.97701 30.993),17,01,01779775,0400000US01,01,AL,Alabama,00,131174048583,4593327154
483,Report 483: Multiple witnesses describe multiple encounters,Class C,1996-04-15T12:00:00Z,33.94175,-86.17965,POINT (-86.17965 33.94175),17,01,01779775,0400000US01,01,AL,Alabama,00,131174048583,4593327154
1830,Report 1830: Two separate sighting reports of a creature,Class C,1975-08-25T12:00:00Z,34.1288,-86.68,POINT (-86.68 34.1288),17,01,01779775,0400000US01,01,AL,Alabama,00,131174048583,4593327154
45464,Report 45464: Motorist has a daylight sighting on Hwy. 9 east of Cedar Bluff,Class A,2014-06-17T12:00:00Z,34.14117,-85.22781,POINT (-85.22781 34.14117),18,13,01705317,0400000US13,13,GA,Georgia,00,149482048342,4422936154
39080,Report 39080: Late night sighting by a stranded boater on the St. Marys River,Class A,2012-12-08T12:00:00Z,30.71004,-82.0443,POINT (-82.0443 30.71004),18,13,01705317,0400000US13,13,GA,Georgia,00,149482048342,4422936154
398,Report 398: Woman and friend drive past amazing animal on Georgia backroad,Class A,2005-01-31T12:00:00Z,33.26885,-85.12705,POINT (-85.12705 33.26885),18,13,01705317,0400000US13,13,GA,Georgia,00,149482048342,4422936154
447,Report 447: Unusual incident... a horseback rider's close encounter,Class A,1974-06-15T12:00:00Z,34.0,-85.0,POINT (-85 34),18,13,01705317,0400000US13,13,GA,Georgia,00,149482048342,4422936154
1864,"Report 1864: Large, Dark Gray form crosses road in front of motorist",Class A,1993-11-03T12:00:00Z,34.28745,-84.59345,POINT (-84.59345 34.28745),18,13,01705317,0400000US13,13,GA,Georgia,00,149482048342,4422936154
2218,"Report 2218: Man approached at close range by man/ape creature at Fort Gordon, US Army Signal School",Class A,1979-12-01T12:00:00Z,33.3646,-82.24471,POINT (-82.24471 33.3646),18,13,01705317,0400000US13,13,GA,Georgia,00,149482048342,4422936154
2219,Report 2219: Children chased from woods by a seven foot tall creature,Class A,1978-06-15T12:00:00Z,34.6423,-83.4192,POINT (-83.4192 34.6423),18,13,01705317,0400000US13,13,GA,Georgia,00,149482048342,4422936154
2220,"Report 2220: Two campers report seeing tall creature at Rood Park campground and boat landing by the Chattahoochee River, just south of Florence Marina",Class A,2000-08-30T12:00:00Z,32.0538,-85.0409,POINT (-85.0409 32.0538),18,13,01705317,0400000US13,13,GA,Georgia,00,149482048342,4422936154
2279,"Report 2279: Multiple witness sighting near Beards Creek Church, outside Glennville",Class A,1982-06-15T12:00:00Z,31.8792,-81.88475,POINT (-81.88475 31.8792),18,13,01705317,0400000US13,13,GA,Georgia,00,149482048342,4422936154
2393,Report 2393: The Georgia chopper crash story has been debunked. See msg from P. Caulkins in the investigator notes.,Class A,1985-09-15T12:00:00Z,34.70435,-84.2269,POINT (-84.2269 34.70435),18,13,01705317,0400000US13,13,GA,Georgia,00,149482048342,4422936154
4393,"Report 4393: Early morning sighting of large, upright animal on rural bridge in Southern Georgia",Class A,2002-06-10T12:00:00Z,30.67,-83.412,POINT (-83.412 30.67),18,13,01705317,0400000US13,13,GA,Georgia,00,149482048342,4422936154
5395,Report 5395: Deer hunter has encounter south of Fort Stewart.,Class A,1998-10-15T12:00:00Z,31.82345,-81.73075,POINT (-81.73075 31.82345),18,13,01705317,0400000US13,13,GA,Georgia,00,149482048342,4422936154
6097,Report 6097: Man describes childhood sighting at rural property on the outskirts of Atlanta,Class A,1961-09-01T12:00:00Z,33.70037,-84.53352,POINT (-84.53352 33.70037),18,13,01705317,0400000US13,13,GA,Georgia,00,149482048342,4422936154
7113,"Report 7113: Brothers have close, long sighting of ""thing"" in Wolf Creek",Class A,2003-10-26T12:00:00Z,33.5388,-84.869,POINT (-84.869 33.5388),18,13,01705317,0400000US13,13,GA,Georgia,00,149482048342,4422936154
7237,Report 7237: Evening sighting by motorist on Hwy 75 near Duke's Creek,Class A,1999-11-25T12:00:00Z,34.672,-83.714,POINT (-83.714 34.672),18,13,01705317,0400000US13,13,GA,Georgia,00,149482048342,4422936154
8405,Report 8405: Early evening road crossing sighting by motorist on Jekyll Island,Class A,1963-07-04T12:00:00Z,31.08925,-81.41267,POINT (-81.41267 31.08925),18,13,01705317,0400000US13,13,GA,Georgia,00,149482048342,4422936154
8454,Report 8454: Multiple witness sighting on Hwy. 16 near the Emanuel/Candler county line,Class A,2004-04-01T12:00:00Z,32.38575,-82.24886,POINT (-82.24886 32.38575),18,13,01705317,0400000US13,13,GA,Georgia,00,149482048342,4422936154
9465,Report 9465: Witness watches tall biped cross her backyard,Class A,2005-07-14T12:00:00Z,34.68319,-83.69085,POINT (-83.69085 34.68319),18,13,01705317,0400000US13,13,GA,Georgia,00,149482048342,4422936154
9712,Report 9712: Early evening encounter near Riverdale,Class A,1984-07-15T12:00:00Z,33.32442,-84.2532,POINT (-84.2532 33.32442),18,13,01705317,0400000US13,13,GA,Georgia,00,149482048342,4422936154
9818,Report 9818: Hiker has nighttime sighting at Minnehaha Falls,Class A,1998-05-23T12:00:00Z,34.74775,-83.48067,POINT (-83.48067 34.74775),18,13,01705317,0400000US13,13,GA,Georgia,00,149482048342,4422936154
10874,Report 10874: Teenager observes animal hiding behind trees and finds footprint in the Clay Hills near Hoboken.,Class A,1986-10-11T12:00:00Z,31.2439,-82.1341,POINT (-82.1341 31.2439),18,13,01705317,0400000US13,13,GA,Georgia,00,149482048342,4422936154
14525,Report 14525: Evening encounter with fisherman laying catfish lines on the Alapaha River,Class A,1976-10-08T12:00:00Z,31.24842,-83.13654,POINT (-83.13654 31.24842),18,13,01705317,0400000US13,13,GA,Georgia,00,149482048342,4422936154
15457,Report 15457: Daylight sighting by hunter along powerline route near Newnan,Class A,2006-08-29T12:00:00Z,33.48295,-84.7681,POINT (-84.7681 33.48295),18,13,01705317,0400000US13,13,GA,Georgia,00,149482048342,4422936154
17089,Report 17089: Night sighting through thermal viewer by soldier on Fort Stewart,Class A,1998-11-12T12:00:00Z,32.0391,-81.436,POINT (-81.436 32.0391),18,13,01705317,0400000US13,13,GA,Georgia,00,149482048342,4422936154
18016,Report 18016: Nighttime sighting by motorists outside Hiram,Class A,2006-06-16T12:00:00Z,33.80785,-84.78979,POINT (-84.78979 33.80785),18,13,01705317,0400000US13,13,GA,Georgia,00,149482048342,4422936154
18044,Report 18044: Nighttime sighting by motorists on Hwy 101 near Hannah Swamp,Class A,2007-02-27T12:00:00Z,33.81029,-84.97515,POINT (-84.97515 33.81029),18,13,01705317,0400000US13,13,GA,Georgia,00,149482048342,4422936154
